rank,title,studio,box_office,year
1,Star Wars: The Force Awakens,BV,936662225,2015
2,Avatar,Fox,760507625,2009
3,Titanic,Par.,659363944,1997
4,Jurassic World,Uni.,652270625,2015
5,Black Panther,BV,643503634,2018
6,The Avengers,BV,623357910,2012
7,Star Wars: The Last Jedi,BV,620057903,2017
8,The Dark Knight,WB,534858444,2008
9,Rogue One: A Star Wars Story,BV,532177324,2016
10,Beauty and the Beast&y=2017,BV,504014165,2017
11,Finding Dory,BV,486295561,2016
12,Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999
13,Star Wars,Fox,460998007,1977
14,Avengers: Age of Ultron,BV,459005868,2015
15,The Dark Knight Rises,WB,448139099,2012
16,Shrek 2,DW,441226247,2004
17,E.T.: The Extra-Terrestrial,Uni.,435110554,1982
18,The Hunger Games: Catching Fire,LGF,424668047,2013
19,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,2006
20,The Lion King,BV,422783777,1994
21,Toy Story 3,BV,415004880,2010
22,Wonder Woman,WB,412563408,2017
23,Iron Man 3,BV,409013994,2013
24,Captain America: Civil War,BV,408084349,2016
25,The Hunger Games,LGF,408010692,2012
26,Spider-Man,Sony,403706375,2002
27,Jurassic Park,Uni.,402453882,1993
28,Jumanji: Welcome to the Jungle,Sony,402340739,2017
29,Transformers: Revenge of the Fallen,P/DW,402111870,2009
30,Frozen,BV,400738009,2013
31,Guardians of the Galaxy Vol. 2,BV,389813101,2017
32,Harry Potter and the Deathly Hallows Part 2,WB,381011219,2011
33,Finding Nemo,BV,380843261,2003
34,Star Wars: Episode III - Revenge of the Sith,Fox,380270577,2005
35,The Lord of the Rings: The Return of the King,NL,377845905,2003
36,Spider-Man 2,Sony,373585825,2004
37,The Passion of the Christ,NM,370782930,2004
38,The Secret Life of Pets,Uni.,368384330,2016
39,Despicable Me 2,Uni.,368061265,2013
40,The Jungle Book&y=2016,BV,364001123,2016
41,Deadpool,Fox,363070709,2016
42,Inside Out,BV,356461711,2015
43,Furious 7,Uni.,353007020,2015
44,Transformers: Dark of the Moon,P/DW,352390543,2011
45,American Sniper,WB,350126372,2014
46,The Lord of the Rings: The Two Towers,NL,342551365,2002
47,Zootopia,BV,341268248,2016
48,The Hunger Games: Mockingjay - Part 1,LGF,337135885,2014
49,Spider-Man 3,Sony,336530303,2007
50,Minions,Uni.,336045770,2015
51,Spider-Man: Homecoming,Sony,334201140,2017
52,Alice in Wonderland&y=2010,BV,334191110,2010
53,Guardians of the Galaxy,BV,333176600,2014
54,Batman v Superman: Dawn of Justice,WB,330360194,2016
55,Forrest Gump,Par.,330252182,1994
56,It,WB (NL),327481748,2017
57,Suicide Squad,WB,325100054,2016
58,Shrek the Third,P/DW,322719944,2007
59,Transformers,P/DW,319246193,2007
60,Iron Man,Par.,318412101,2008
61,Harry Potter and the Sorcerer's Stone,WB,317575550,2001
62,Indiana Jones and the Kingdom of the Crystal Skull,Par.,317101119,2008
63,The Lord of the Rings: The Fellowship of the Ring,NL,315544750,2001
64,Thor: Ragnarok,BV,315058289,2017
65,Iron Man 2,Par.,312433331,2010
66,Star Wars: Episode II - Attack of the Clones,Fox,310676740,2002
67,Pirates of the Caribbean: At World's End,BV,309420425,2007
68,Return of the Jedi,Fox,309306177,1983
69,Independence Day,Fox,306169268,1996
70,Pirates of the Caribbean: The Curse of the Black Pearl,BV,305413918,2003
71,Skyfall,Sony,304360277,2012
72,The Hobbit: An Unexpected Journey,WB (NL),303003568,2012
73,Harry Potter and the Half-Blood Prince,WB,301959197,2009
74,The Twilight Saga: Eclipse,Sum.,300531751,2010
75,The Twilight Saga: New Moon,Sum.,296623634,2009
76,Harry Potter and the Deathly Hallows Part 1,WB,295983305,2010
77,The Sixth Sense,BV,293506292,1999
78,Up,BV,293004164,2009
79,Inception,WB,292576195,2010
80,The Twilight Saga: Breaking Dawn Part 2,LG/S,292324737,2012
81,Harry Potter and the Order of the Phoenix,WB,292004738,2007
82,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,291710957,2005
83,Man of Steel,WB,291045518,2013
84,The Empire Strikes Back,Fox,290475067,1980
85,Harry Potter and the Goblet of Fire,WB,290013036,2005
86,"Monsters, Inc.",BV,289916256,2001
87,Home Alone,Fox,285761243,1990
88,The Hunger Games: Mockingjay - Part 2,LGF,281723902,2015
89,The Matrix Reloaded,WB,281576461,2003
90,The Twilight Saga: Breaking Dawn Part 1,Sum.,281287133,2011
91,Meet the Fockers,Uni.,279261160,2004
92,The Hangover,WB,277322503,2009
93,Gravity,WB,274092705,2013
94,Sing,Uni.,270395425,2016
95,Monsters University,BV,268492764,2013
96,Shrek,DW,267665011,2001
97,Despicable Me 3,Uni.,264624300,2017
98,The Amazing Spider-Man,Sony,262030663,2012
99,Harry Potter and the Chamber of Secrets,WB,261988482,2002
100,The Incredibles,BV,261441092,2004
101,How the Grinch Stole Christmas,Uni.,260044825,2000
102,Jaws,Uni.,260000000,1975
103,Captain America: The Winter Soldier,BV,259766572,2014
104,The Hobbit: The Desolation of Smaug,WB (NL),258366855,2013
105,The LEGO Movie,WB,257760692,2014
106,Star Trek,Par.,257730019,2009
107,I Am Legend,WB,256393010,2007
108,The Blind Side,WB,255959475,2009
109,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,2014
110,The Hangover Part II,WB,254464305,2011
111,Despicable Me,Uni.,251513985,2010
112,Batman,WB,251188924,1989
113,Night at the Museum,Fox,250863268,2006
114,Men in Black,Sony,250690539,1997
115,Harry Potter and the Prisoner of Azkaban,WB,249541069,2004
116,Moana,BV,248757044,2016
117,Raiders of the Lost Ark,Par.,248159971,1981
118,Toy Story 2,BV,245852179,1999
119,Transformers: Age of Extinction,Par.,245439076,2014
120,Cars,BV,244082982,2006
121,Bruce Almighty,Uni.,242829261,2003
122,Ghostbusters,Col.,242212467,1984
123,Twister,WB,241721524,1996
124,My Big Fat Greek Wedding,IFC,241438208,2002
125,Maleficent,BV,241410378,2014
126,Pirates of the Caribbean: On Stranger Tides,BV,241071802,2011
127,Shrek Forever After,P/DW,238736787,2010
128,Fast & Furious 6,Uni.,238679850,2013
129,Brave,BV,237283207,2012
130,Oz The Great and Powerful,BV,234911825,2013
131,Beverly Hills Cop,Par.,234760478,1984
132,X-Men: The Last Stand,Fox,234362462,2006
133,War of the Worlds,Par.,234280354,2005
134,Fantastic Beasts and Where To Find Them,WB,234037575,2016
135,X-Men: Days of Future Past,Fox,233921534,2014
136,Cast Away,Fox,233632142,2000
137,The Exorcist,WB,232906145,1973
138,Doctor Strange,BV,232641920,2016
139,The Lost World: Jurassic Park,Uni.,229086679,1997
140,Justice League,WB,229024295,2017
141,Star Trek Into Darkness,Par.,228778661,2013
142,The Martian,Fox,228433663,2015
143,Signs,BV,227966634,2002
144,Hancock,Sony,227946274,2008
145,The Bourne Ultimatum,Uni.,227471070,2007
146,Logan,Fox,226277068,2017
147,Rush Hour 2,NL,226164286,2001
148,The Fate of the Furious,Uni.,226008385,2017
149,WALL-E,BV,223808164,2008
150,Big Hero 6,BV,222527828,2014
151,National Treasure: Book of Secrets,BV,219964115,2007
152,Alvin and the Chipmunks: The Squeakquel,Fox,219614612,2009
153,Mrs. Doubtfire,Fox,219195243,1993
154,Beauty and the Beast,BV,218967620,1991
155,Ted,Uni.,218815487,2012
156,King Kong,Uni.,218080025,2005
157,Ghost,Par.,217631306,1990
158,How to Train Your Dragon,P/DW,217581231,2010
159,The Da Vinci Code,Sony,217536138,2006
160,Aladdin,BV,217350219,1992
161,Alvin and the Chipmunks,Fox,217326974,2007
162,Saving Private Ryan,DW,216540909,1998
