rank,actor1,actor2,actor3,actor4
0,Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver
1,Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang
2,Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates
3,Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio
4,Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira
5,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
6,Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley
7,Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine
8,Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen
9,Emma Watson, Dan Stevens, Luke Evans, Josh Gad
10,Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson
11,Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd
12,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing
13,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans
14,Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt
15,Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews
16,Dee Wallace, Henry Thomas, Peter Coyote, Robert MacNaughton
17,Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair
18,Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport
19,Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings
20,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty
21,Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright
22,Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce
23,Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan
24,Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields
25,Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco
26,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough
27,Dwayne Johnson, Kevin Hart, Jack Black, Karen Gillan
28,Shia LaBeouf, Megan Fox, Josh Duhamel, Tyrese Gibson
