,state,batman,superman,wonder woman,the flash,green lantern,aquaman,iron man,captain america,wolverine,spider man,hulk,thor
0,Utah,100,96,100,100,33,76,100,100,31,100,75,100
1,West Virginia,95,92,61,80,45,94,77,80,31,69,93,48
2,Indiana,95,94,63,85,38,67,83,73,25,85,92,71
3,Kentucky,92,96,61,78,46,74,80,74,27,80,96,58
4,Oklahoma,91,95,73,77,38,94,80,75,25,80,86,67
5,New Mexico,88,100,80,75,29,94,82,79,24,83,90,70
6,Arizona,88,92,86,78,34,79,85,76,21,83,81,73
7,Idaho,88,87,73,84,38,71,88,82,26,72,81,80
8,Michigan,88,92,69,80,88,70,74,70,100,76,82,65
9,Missouri,87,98,69,82,63,75,74,71,21,77,82,63
10,Arkansas,87,96,66,82,28,80,76,73,23,77,85,60
11,Alaska,86,93,75,72,34,88,94,84,49,74,86,80
12,Illinois,85,91,70,82,32,65,70,67,23,84,81,61
13,California,84,93,87,93,34,76,80,72,22,89,78,69
14,Nevada,84,95,75,80,36,72,78,71,24,83,84,67
15,Delaware,84,85,67,73,27,76,77,74,23,85,82,56
16,Kansas,83,90,60,79,100,61,82,73,20,75,73,60
17,Texas,83,94,81,85,32,80,78,72,22,86,83,64
18,Tennessee,82,92,65,75,30,75,72,69,23,78,84,59
19,Ohio,82,91,60,81,35,72,70,69,24,75,84,60
20,New Jersey,81,94,66,94,38,61,73,70,21,82,81,57
21,Pennsylvania,81,83,60,75,33,62,67,61,22,76,83,57
22,Wisconsin,81,76,55,70,37,60,76,65,22,65,70,60
23,Iowa,80,87,60,81,36,63,74,69,22,70,83,67
24,Alabama,79,89,61,76,33,75,73,59,22,74,87,54
25,Mississippi,78,92,60,76,32,87,72,63,22,81,95,52
26,Wyoming,78,77,61,63,27,63,76,74,33,63,76,65
27,Georgia,77,89,64,79,29,70,71,64,21,79,82,58
28,Rhode Island,77,90,62,84,31,68,65,61,20,77,89,51
29,Virginia,77,83,69,77,34,72,70,68,21,72,77,63
30,Colorado,76,78,74,69,30,70,76,65,23,71,73,64
31,South Carolina,76,83,58,78,32,74,66,64,22,74,85,52
32,Maine,76,77,52,84,29,56,64,58,19,60,76,57
33,Connecticut,76,87,67,88,30,59,68,64,19,73,74,51
34,South Dakota,75,78,50,82,38,40,82,64,24,64,72,62
35,Maryland,75,89,71,83,35,74,70,68,20,77,80,62
36,New York,74,91,66,83,34,62,74,66,21,79,81,59
37,Nebraska,74,84,62,76,34,75,77,68,21,75,83,64
38,New Hampshire,73,67,59,71,30,61,69,60,22,62,77,55
39,Washington,73,78,79,72,36,72,73,64,22,70,69,71
40,North Dakota,72,67,59,64,33,79,74,71,22,63,75,59
41,Florida,72,87,68,80,32,80,71,63,19,82,100,59
42,North Carolina,71,82,63,76,32,68,68,64,21,73,81,56
43,Oregon,71,77,72,70,26,60,66,52,20,67,69,64
44,Massachusetts,70,77,65,74,31,51,63,67,20,66,72,54
45,Montana,70,73,62,57,24,48,72,50,31,58,63,67
46,Louisiana,69,82,58,76,29,67,63,64,21,75,86,53
47,Minnesota,69,72,64,74,33,50,68,61,19,61,66,62
48,Vermont,64,73,56,66,39,43,58,54,20,50,83,52
49,District of Columbia,62,72,81,58,41,62,56,56,19,66,71,48
50,Hawaii,62,96,83,89,35,100,82,61,18,68,80,75
