,rank,title,studio,box_office,year,actor1,actor2,actor3,actor4,female_lead,non_white_lead
0,1,Star Wars: The Force Awakens,BV,936662225,2015,Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver,0,0
1,2,Avatar,Fox,760507625,2009,Sam Worthington, Zoe Saldana, Sigourney Weaver, Stephen Lang,0,0
2,3,Titanic,Par.,659363944,1997,Leonardo DiCaprio, Kate Winslet, Billy Zane, Kathy Bates,0,0
3,4,Jurassic World,Uni.,652270625,2015,Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio,0,0
4,5,Black Panther,BV,643503634,2018,Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira,0,1
5,6,The Avengers,BV,623357910,2012,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth,0,0
6,7,Star Wars: The Last Jedi,BV,620057903,2017,Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley,0,0
7,8,The Dark Knight,WB,534858444,2008,Christian Bale, Heath Ledger, Aaron Eckhart, Michael Caine,0,0
8,9,Rogue One: A Star Wars Story,BV,532177324,2016,Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen,1,0
9,10,Beauty and the Beast&y=2017,BV,504014165,2017,Emma Watson, Dan Stevens, Luke Evans, Josh Gad,1,0
10,11,Finding Dory,BV,486295561,2016,Ellen DeGeneres, Albert Brooks, Ed O'Neill, Kaitlin Olson,1,0
11,12,Star Wars: Episode I - The Phantom Menace,Fox,474544677,1999,Liam Neeson, Ewan McGregor, Natalie Portman, Jake Lloyd,0,0
12,13,Star Wars,Fox,460998007,1977,Mark Hamill, Harrison Ford, Carrie Fisher, Peter Cushing,0,0
13,14,Avengers: Age of Ultron,BV,459005868,2015,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans,0,0
14,15,The Dark Knight Rises,WB,448139099,2012,Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt,0,0
15,16,Shrek 2,DW,441226247,2004,Mike Myers, Eddie Murphy, Cameron Diaz, Julie Andrews,0,0
16,17,E.T.: The Extra-Terrestrial,Uni.,435110554,1982,Dee Wallace, Henry Thomas, Peter Coyote, Robert MacNaughton,1,0
17,18,The Hunger Games: Catching Fire,LGF,424668047,2013,Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair,1,0
18,19,Pirates of the Caribbean: Dead Man's Chest,BV,423315812,2006,Johnny Depp, Orlando Bloom, Keira Knightley, Jack Davenport,0,0
19,20,The Lion King,BV,422783777,1994,Rowan Atkinson, Matthew Broderick, Niketa Calame, Jim Cummings,0,0
20,21,Toy Story 3,BV,415004880,2010,Tom Hanks, Tim Allen, Joan Cusack, Ned Beatty,0,0
21,22,Wonder Woman,WB,412563408,2017,Gal Gadot, Chris Pine, Connie Nielsen, Robin Wright,1,0
22,23,Iron Man 3,BV,409013994,2013,Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce,0,0
23,24,Captain America: Civil War,BV,408084349,2016,Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan,0,0
24,25,The Hunger Games,LGF,408010692,2012,Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields,1,0
25,26,Spider-Man,Sony,403706375,2002,Tobey Maguire, Willem Dafoe, Kirsten Dunst, James Franco,0,0
26,27,Jurassic Park,Uni.,402453882,1993,Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough,0,0
